tipid,created,Type,msg
3dad9bfc-2a4c-475d-b214-30fd5b3f5f47,1511140150,Disturbance,I'd like to report some baz
9dbb3fc1-785c-4e5c-88fb-5992f898e228,1505298331,Arson,I'd like to report some foo
0ae40f85-a21d-45ce-98d8-01e0258c66ae,1506299505,Suspicious,I'd like to report some baz
937d1a3e-5070-4209-a9e0-dc1ed73f1011,1510066389,Disturbance,I'd like to report some foo
e8122fc8-23b9-4cfc-9c2d-52096e82222c,1502616099,Disturbance,I'd like to report some baz
6c074dd5-150c-4ad8-9d0c-f3732638de46,1507780301,Arson,I'd like to report some bar
a51505eb-3870-444b-91b7-30008bdef2ff,1508177016,Smell,I'd like to report some baz
2de12eb7-8886-4142-901c-83972d511029,1511072616,Smell,I'd like to report some baz
1b1c2ffc-1bf8-48b0-9db7-b43b315fd3a1,1506251853,Smell,I'd like to report some quux
97853939-b142-456d-b1a4-37ed2ce75b7c,1510235776,Arson,I'd like to report some bar
629d7d0d-40e1-4949-98ac-1a191c5b5e78,1509381216,Suspicious,I'd like to report some foo
8884b504-8e73-40ba-896b-c5be355bdd8c,1509694333,SuspiciousActivity,I'd like to report some bar
ae94cdb7-0114-4cc8-ad4a-f5873e00aeef,1503778496,Disturbance,I'd like to report some baz
0aefd27c-bba7-4964-a4b0-56dce08ec363,1510998584,Smell,I'd like to report some bear
f3c5a089-472f-4091-9393-ecc634bc614f,1505246442,Arson,I'd like to report some quux
7f446ac0-382c-493a-8805-76b76b994f29,1511011966,Smell,I'd like to report some foo
2c1a0c40-cbc0-4ea3-8ebc-52b77adc05d2,1503765069,Suspicious,I'd like to report some baz
590455c8-41ae-456d-bfc7-83a084fd4bad,1505965464,Smell,I'd like to report some quux
13a66639-4c88-49df-988a-068d6f692fb3,1503138788,Disturbance,I'd like to report some quux
9670d073-7f79-48e3-b3bc-200046f553ac,1503851984,Disturbance,I'd like to report some foo
545ee61e-b7fc-4e39-ba0b-c7f7c3ddb1c8,1509598296,Arson,I'd like to report some foo
98e9a9bf-dfb8-48c4-9fac-7a6a0875192e,1505914736,Arson,I'd like to report some bar
550f88fc-e481-47f6-92e7-d34f5fa1895d,1506260648,Disturbance,I'd like to report some baz
d787bf39-8490-4eb0-b46d-aa0abf4fec99,1511096595,Arson,I'd like to report some bear
a2205583-f967-4946-8874-0fba1aae969a,1505025855,Smell,I'd like to report some bar
271808c2-f090-4489-b234-6f6cfa61ff37,1503185584,Suspicious,I'd like to report some foo
6975d472-e363-4a17-b7e3-ae475b5d3cd7,1510020724,Smell,I'd like to report some quux
d004efee-5e9b-4a0c-88ea-035d3471187d,1502705412,Smell,I'd like to report some baz
38d17f78-de81-4c25-baf2-123cede098e3,1510765925,Violence,I'd like to report some bear
9865ab9d-9609-4880-86ff-44afe2ca67f2,1502642555,Disturbance,I'd like to report some quux
b676ca83-9b7d-4cbf-b7eb-c30c1fda5955,1509185570,Disturbance,I'd like to report some baz
32ac2f81-e896-4878-844f-74f7e66f05cd,1502856512,Violence,I'd like to report some foo
a67bb826-1531-49c6-aa54-65bc2646885e,1503513692,Disturbance,I'd like to report some quux
0adca4af-7045-4eaf-a98d-488e51797e2c,1505058008,Smell,I'd like to report some quux
04c59358-497c-44c6-9b17-c09aa834ec82,1502841862,Smell,I'd like to report some bar
c67c18b2-9617-4a35-91f9-14474693d9b8,1507937573,Smell,I'd like to report some quux
bdf90ae3-2b5b-4427-afa2-2f1016f37e41,1503533102,Arson,I'd like to report some foo
dece1559-d928-4891-a1eb-ebb319f33a2c,1505358853,Disturbance,I'd like to report some bar
64194e52-cbcf-477c-9f60-e01166785211,1503434085,Suspicious,I'd like to report some baz
6b1c0730-13de-48f8-b05c-c52d3132b4a0,1509186837,Violence,I'd like to report some baz
3664240b-b399-4a23-a153-b37f0e50256e,1505323849,Suspicious,I'd like to report some bear
137b4d93-cfcf-43e8-b215-11db46191bf0,1510519655,SuspiciousActivity,I'd like to report some foo
7ce50496-a2a8-4760-bf5f-112d69d01586,1502709711,SuspiciousActivity,I'd like to report some quux
61fe4c6b-a600-4ff4-a55d-842ba6d4de73,1505635414,Smell,I'd like to report some bear
27faf6f6-883f-4989-99d2-e3e6c4739cdf,1503779144,Disturbance,I'd like to report some quux
d877f86f-bc26-4f13-bb7e-138ab66625e6,1505408734,Arson,I'd like to report some baz
54f9862f-f61b-4e27-a32c-d8eb2c782355,1507328923,Disturbance,I'd like to report some bar
654c68b0-e11a-4c53-b881-69d7ee6f4cc6,1508381527,Disturbance,I'd like to report some quux
8195b139-30c9-41ea-8631-f5305a518207,1510950812,SuspiciousActivity,I'd like to report some bar
980e727f-ec9f-4f00-9aa9-73e1a7bffabf,1503565624,Smell,I'd like to report some foo
